Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
COVID-19,Gene95,Remdesivir,SMILES289,SideEffect2,TargetClass15,Pathway11,1
COVID-19,Gene53,Levodopa,SMILES83,SideEffect16,TargetClass4,Pathway3,0
Breast Cancer,Gene12,Trastuzumab,SMILES64,SideEffect14,TargetClass8,Pathway9,1
COVID-19,Gene69,Molnupiravir,SMILES393,SideEffect20,TargetClass18,Pathway3,1
Lung Cancer,Gene15,Metformin,SMILES384,SideEffect35,TargetClass17,Pathway13,0
Breast Cancer,Gene65,Tamoxifen,SMILES105,SideEffect22,TargetClass8,Pathway11,1
Depression,Gene52,Sertraline,SMILES293,SideEffect8,TargetClass12,Pathway2,1
Depression,Gene70,Fluoxetine,SMILES241,SideEffect1,TargetClass2,Pathway11,1
COVID-19,Gene83,Remdesivir,SMILES462,SideEffect3,TargetClass18,Pathway10,1
Depression,Gene93,Sertraline,SMILES248,SideEffect30,TargetClass13,Pathway4,1
Type 2 Diabetes,Gene18,Glipizide,SMILES499,SideEffect34,TargetClass15,Pathway3,1
COVID-19,Gene88,Molnupiravir,SMILES465,SideEffect39,TargetClass16,Pathway8,1
Type 2 Diabetes,Gene65,Remdesivir,SMILES142,SideEffect44,TargetClass7,Pathway3,0
Parkinson's disease,Gene88,Carbidopa,SMILES235,SideEffect40,TargetClass7,Pathway4,1
Lung Cancer,Gene66,Gefitinib,SMILES170,SideEffect12,TargetClass13,Pathway11,1
Depression,Gene76,Carbidopa,SMILES27,SideEffect23,TargetClass1,Pathway12,0
Breast Cancer,Gene17,Molnupiravir,SMILES456,SideEffect19,TargetClass5,Pathway7,0
Parkinson's disease,Gene88,Carbidopa,SMILES270,SideEffect26,TargetClass6,Pathway7,1
Type 2 Diabetes,Gene12,Metformin,SMILES194,SideEffect10,TargetClass1,Pathway1,1
Breast Cancer,Gene71,Tamoxifen,SMILES164,SideEffect48,TargetClass6,Pathway2,1
Alzheimer's disease,Gene26,Donepezil,SMILES398,SideEffect45,TargetClass16,Pathway1,1
Depression,Gene68,Sertraline,SMILES217,SideEffect41,TargetClass13,Pathway10,1
Breast Cancer,Gene1,Trastuzumab,SMILES1,SideEffect46,TargetClass4,Pathway11,1
COVID-19,Gene80,Remdesivir,SMILES474,SideEffect37,TargetClass13,Pathway1,1
COVID-19,Gene93,Molnupiravir,SMILES231,SideEffect39,TargetClass1,Pathway1,1
Lung Cancer,Gene24,Erlotinib,SMILES26,SideEffect45,TargetClass14,Pathway8,1
Depression,Gene80,Fluoxetine,SMILES102,SideEffect21,TargetClass12,Pathway12,1
Parkinson's disease,Gene75,Carbidopa,SMILES412,SideEffect25,TargetClass4,Pathway2,1
Lung Cancer,Gene27,Gefitinib,SMILES193,SideEffect34,TargetClass17,Pathway5,1
Parkinson's disease,Gene68,Levodopa,SMILES237,SideEffect16,TargetClass16,Pathway3,1
Alzheimer's disease,Gene71,Donepezil,SMILES386,SideEffect42,TargetClass4,Pathway12,1
COVID-19,Gene62,Fluoxetine,SMILES167,SideEffect42,TargetClass16,Pathway7,0
Depression,Gene13,Fluoxetine,SMILES458,SideEffect14,TargetClass9,Pathway5,1
Breast Cancer,Gene27,Tamoxifen,SMILES321,SideEffect13,TargetClass8,Pathway3,1
Depression,Gene1,Sertraline,SMILES399,SideEffect13,TargetClass13,Pathway4,1
Depression,Gene86,Fluoxetine,SMILES473,SideEffect43,TargetClass11,Pathway5,1
Parkinson's disease,Gene59,Carbidopa,SMILES205,SideEffect17,TargetClass19,Pathway14,1
COVID-19,Gene93,Molnupiravir,SMILES256,SideEffect32,TargetClass16,Pathway10,1
Parkinson's disease,Gene56,Levodopa,SMILES360,SideEffect6,TargetClass16,Pathway10,1
Depression,Gene39,Sertraline,SMILES376,SideEffect12,TargetClass9,Pathway10,1
Lung Cancer,Gene41,Gefitinib,SMILES152,SideEffect35,TargetClass15,Pathway3,1
Breast Cancer,Gene29,Tamoxifen,SMILES454,SideEffect25,TargetClass16,Pathway4,1
Type 2 Diabetes,Gene37,Metformin,SMILES91,SideEffect2,TargetClass4,Pathway12,1
Lung Cancer,Gene67,Erlotinib,SMILES13,SideEffect28,TargetClass11,Pathway11,1
Type 2 Diabetes,Gene22,Glipizide,SMILES18,SideEffect22,TargetClass10,Pathway7,1
Depression,Gene61,Fluoxetine,SMILES201,SideEffect2,TargetClass10,Pathway1,1
Breast Cancer,Gene87,Trastuzumab,SMILES225,SideEffect16,TargetClass6,Pathway3,1
Lung Cancer,Gene14,Gefitinib,SMILES23,SideEffect47,TargetClass1,Pathway14,1
COVID-19,Gene18,Molnupiravir,SMILES111,SideEffect16,TargetClass12,Pathway8,1
Depression,Gene94,Remdesivir,SMILES121,SideEffect32,TargetClass15,Pathway6,0
Type 2 Diabetes,Gene46,Glipizide,SMILES455,SideEffect6,TargetClass4,Pathway1,1
COVID-19,Gene56,Remdesivir,SMILES217,SideEffect41,TargetClass2,Pathway13,1
Breast Cancer,Gene96,Trastuzumab,SMILES99,SideEffect32,TargetClass2,Pathway5,1
Type 2 Diabetes,Gene8,Glipizide,SMILES29,SideEffect48,TargetClass19,Pathway1,1
Alzheimer's disease,Gene88,Donepezil,SMILES314,SideEffect18,TargetClass8,Pathway13,1
Parkinson's disease,Gene10,Levodopa,SMILES248,SideEffect44,TargetClass7,Pathway8,1
Breast Cancer,Gene79,Tamoxifen,SMILES45,SideEffect22,TargetClass11,Pathway4,1
Parkinson's disease,Gene59,Levodopa,SMILES345,SideEffect41,TargetClass10,Pathway6,1
Alzheimer's disease,Gene28,Donepezil,SMILES145,SideEffect6,TargetClass12,Pathway4,1
COVID-19,Gene49,Remdesivir,SMILES9,SideEffect19,TargetClass9,Pathway12,1
COVID-19,Gene5,Molnupiravir,SMILES157,SideEffect23,TargetClass6,Pathway4,1
COVID-19,Gene55,Levodopa,SMILES308,SideEffect25,TargetClass2,Pathway12,0
Breast Cancer,Gene31,Trastuzumab,SMILES161,SideEffect39,TargetClass14,Pathway5,1
Breast Cancer,Gene74,Trastuzumab,SMILES332,SideEffect17,TargetClass13,Pathway12,1
Parkinson's disease,Gene46,Levodopa,SMILES364,SideEffect19,TargetClass18,Pathway13,1
Parkinson's disease,Gene41,Levodopa,SMILES379,SideEffect7,TargetClass5,Pathway5,1
COVID-19,Gene6,Molnupiravir,SMILES55,SideEffect31,TargetClass19,Pathway6,1
Breast Cancer,Gene27,Remdesivir,SMILES82,SideEffect24,TargetClass9,Pathway2,0
Depression,Gene96,Fluoxetine,SMILES362,SideEffect25,TargetClass1,Pathway3,1
COVID-19,Gene81,Remdesivir,SMILES177,SideEffect11,TargetClass7,Pathway13,1
Type 2 Diabetes,Gene35,Glipizide,SMILES147,SideEffect26,TargetClass3,Pathway12,1
COVID-19,Gene85,Carbidopa,SMILES472,SideEffect21,TargetClass7,Pathway8,0
Lung Cancer,Gene19,Glipizide,SMILES171,SideEffect28,TargetClass18,Pathway14,0
Breast Cancer,Gene18,Trastuzumab,SMILES277,SideEffect10,TargetClass8,Pathway5,1
Depression,Gene96,Sertraline,SMILES54,SideEffect39,TargetClass12,Pathway10,1
Breast Cancer,Gene13,Trastuzumab,SMILES369,SideEffect35,TargetClass11,Pathway11,1
Breast Cancer,Gene29,Trastuzumab,SMILES221,SideEffect26,TargetClass8,Pathway3,1
Lung Cancer,Gene1,Levodopa,SMILES6,SideEffect2,TargetClass14,Pathway11,0
Type 2 Diabetes,Gene27,Remdesivir,SMILES287,SideEffect27,TargetClass10,Pathway1,0
Type 2 Diabetes,Gene36,Glipizide,SMILES302,SideEffect42,TargetClass11,Pathway6,1
Lung Cancer,Gene36,Gefitinib,SMILES437,SideEffect42,TargetClass4,Pathway7,1
Breast Cancer,Gene58,Tamoxifen,SMILES46,SideEffect1,TargetClass9,Pathway8,1
Alzheimer's disease,Gene9,Sertraline,SMILES129,SideEffect5,TargetClass7,Pathway9,0
COVID-19,Gene14,Molnupiravir,SMILES415,SideEffect11,TargetClass5,Pathway2,1
Lung Cancer,Gene28,Gefitinib,SMILES146,SideEffect14,TargetClass13,Pathway3,1
Lung Cancer,Gene16,Carbidopa,SMILES154,SideEffect29,TargetClass6,Pathway5,0
Depression,Gene42,Carbidopa,SMILES292,SideEffect25,TargetClass5,Pathway8,0
Parkinson's disease,Gene61,Carbidopa,SMILES464,SideEffect30,TargetClass3,Pathway1,1
Depression,Gene54,Sertraline,SMILES181,SideEffect20,TargetClass14,Pathway6,1
Lung Cancer,Gene20,Glipizide,SMILES236,SideEffect17,TargetClass18,Pathway8,0
COVID-19,Gene13,Remdesivir,SMILES65,SideEffect20,TargetClass15,Pathway14,1
Alzheimer's disease,Gene59,Gefitinib,SMILES78,SideEffect17,TargetClass15,Pathway14,0
Type 2 Diabetes,Gene54,Metformin,SMILES79,SideEffect15,TargetClass11,Pathway8,1
COVID-19,Gene19,Molnupiravir,SMILES222,SideEffect26,TargetClass11,Pathway6,1
Type 2 Diabetes,Gene91,Metformin,SMILES354,SideEffect11,TargetClass1,Pathway13,1
Alzheimer's disease,Gene19,Donepezil,SMILES53,SideEffect21,TargetClass17,Pathway14,1
Type 2 Diabetes,Gene82,Metformin,SMILES263,SideEffect42,TargetClass16,Pathway3,1
Lung Cancer,Gene3,Gefitinib,SMILES187,SideEffect43,TargetClass3,Pathway7,1
COVID-19,Gene51,Molnupiravir,SMILES263,SideEffect23,TargetClass14,Pathway10,1
Alzheimer's disease,Gene99,Donepezil,SMILES193,SideEffect47,TargetClass10,Pathway14,1
COVID-19,Gene79,Remdesivir,SMILES255,SideEffect17,TargetClass19,Pathway6,1
Alzheimer's disease,Gene55,Donepezil,SMILES163,SideEffect14,TargetClass7,Pathway9,1
Depression,Gene67,Fluoxetine,SMILES140,SideEffect20,TargetClass10,Pathway7,1
Depression,Gene57,Metformin,SMILES231,SideEffect16,TargetClass16,Pathway6,0
Depression,Gene65,Sertraline,SMILES230,SideEffect25,TargetClass19,Pathway9,1
COVID-19,Gene54,Remdesivir,SMILES413,SideEffect12,TargetClass8,Pathway4,1
Depression,Gene81,Sertraline,SMILES229,SideEffect8,TargetClass19,Pathway10,1
Depression,Gene83,Sertraline,SMILES412,SideEffect28,TargetClass11,Pathway8,1
COVID-19,Gene39,Molnupiravir,SMILES210,SideEffect3,TargetClass6,Pathway10,1
Alzheimer's disease,Gene43,Donepezil,SMILES134,SideEffect47,TargetClass5,Pathway11,1
COVID-19,Gene41,Remdesivir,SMILES121,SideEffect46,TargetClass19,Pathway7,1
Lung Cancer,Gene83,Erlotinib,SMILES100,SideEffect3,TargetClass6,Pathway9,1
Type 2 Diabetes,Gene85,Metformin,SMILES223,SideEffect16,TargetClass13,Pathway4,1
Alzheimer's disease,Gene8,Gefitinib,SMILES429,SideEffect34,TargetClass19,Pathway6,0
Breast Cancer,Gene25,Trastuzumab,SMILES395,SideEffect44,TargetClass14,Pathway13,1
COVID-19,Gene63,Remdesivir,SMILES154,SideEffect31,TargetClass5,Pathway6,1
Breast Cancer,Gene87,Trastuzumab,SMILES84,SideEffect32,TargetClass11,Pathway7,1
Parkinson's disease,Gene82,Levodopa,SMILES440,SideEffect3,TargetClass6,Pathway1,1
Lung Cancer,Gene25,Carbidopa,SMILES263,SideEffect38,TargetClass7,Pathway7,0
Alzheimer's disease,Gene94,Donepezil,SMILES113,SideEffect19,TargetClass5,Pathway8,1
Breast Cancer,Gene36,Trastuzumab,SMILES408,SideEffect31,TargetClass6,Pathway2,1
Type 2 Diabetes,Gene22,Glipizide,SMILES69,SideEffect33,TargetClass4,Pathway4,1
COVID-19,Gene3,Molnupiravir,SMILES201,SideEffect5,TargetClass3,Pathway9,1
Depression,Gene83,Sertraline,SMILES341,SideEffect13,TargetClass17,Pathway6,1
COVID-19,Gene44,Sertraline,SMILES390,SideEffect27,TargetClass12,Pathway13,0
Type 2 Diabetes,Gene43,Glipizide,SMILES111,SideEffect38,TargetClass9,Pathway9,1
Lung Cancer,Gene8,Erlotinib,SMILES62,SideEffect39,TargetClass1,Pathway8,1
Breast Cancer,Gene82,Trastuzumab,SMILES41,SideEffect48,TargetClass13,Pathway10,1
Lung Cancer,Gene71,Gefitinib,SMILES275,SideEffect35,TargetClass11,Pathway3,1
Depression,Gene76,Tamoxifen,SMILES61,SideEffect42,TargetClass13,Pathway12,0
Parkinson's disease,Gene86,Carbidopa,SMILES18,SideEffect6,TargetClass18,Pathway13,1
Lung Cancer,Gene19,Erlotinib,SMILES159,SideEffect20,TargetClass9,Pathway3,1
Alzheimer's disease,Gene64,Memantine,SMILES453,SideEffect10,TargetClass18,Pathway12,1
Lung Cancer,Gene62,Erlotinib,SMILES128,SideEffect22,TargetClass15,Pathway5,1
Lung Cancer,Gene94,Erlotinib,SMILES293,SideEffect37,TargetClass3,Pathway13,1
Lung Cancer,Gene26,Gefitinib,SMILES150,SideEffect34,TargetClass1,Pathway9,1
Parkinson's disease,Gene2,Levodopa,SMILES196,SideEffect12,TargetClass16,Pathway10,1
Parkinson's disease,Gene69,Carbidopa,SMILES356,SideEffect43,TargetClass10,Pathway1,1
Type 2 Diabetes,Gene21,Metformin,SMILES301,SideEffect6,TargetClass9,Pathway12,1
Breast Cancer,Gene43,Trastuzumab,SMILES275,SideEffect39,TargetClass12,Pathway1,1
Parkinson's disease,Gene24,Levodopa,SMILES108,SideEffect33,TargetClass16,Pathway14,1
COVID-19,Gene31,Remdesivir,SMILES451,SideEffect23,TargetClass7,Pathway8,1
Parkinson's disease,Gene75,Carbidopa,SMILES24,SideEffect35,TargetClass2,Pathway9,1
Type 2 Diabetes,Gene19,Glipizide,SMILES212,SideEffect4,TargetClass6,Pathway10,1
Alzheimer's disease,Gene6,Memantine,SMILES18,SideEffect19,TargetClass19,Pathway2,1
Breast Cancer,Gene55,Trastuzumab,SMILES423,SideEffect9,TargetClass13,Pathway4,1
Type 2 Diabetes,Gene98,Glipizide,SMILES387,SideEffect16,TargetClass19,Pathway4,1
Type 2 Diabetes,Gene54,Glipizide,SMILES93,SideEffect5,TargetClass10,Pathway10,1
Depression,Gene70,Fluoxetine,SMILES411,SideEffect8,TargetClass1,Pathway3,1
Depression,Gene87,Fluoxetine,SMILES155,SideEffect12,TargetClass14,Pathway7,1
Depression,Gene68,Sertraline,SMILES312,SideEffect25,TargetClass2,Pathway1,1
Parkinson's disease,Gene55,Levodopa,SMILES91,SideEffect35,TargetClass5,Pathway10,1
Breast Cancer,Gene38,Tamoxifen,SMILES15,SideEffect6,TargetClass18,Pathway11,1
Type 2 Diabetes,Gene20,Donepezil,SMILES386,SideEffect42,TargetClass11,Pathway5,0
Parkinson's disease,Gene88,Carbidopa,SMILES365,SideEffect3,TargetClass10,Pathway11,1
Alzheimer's disease,Gene87,Memantine,SMILES486,SideEffect30,TargetClass15,Pathway10,1
Parkinson's disease,Gene31,Fluoxetine,SMILES425,SideEffect29,TargetClass5,Pathway10,0
Depression,Gene53,Metformin,SMILES70,SideEffect42,TargetClass5,Pathway4,0
Type 2 Diabetes,Gene12,Glipizide,SMILES202,SideEffect24,TargetClass19,Pathway6,1
Parkinson's disease,Gene34,Carbidopa,SMILES289,SideEffect28,TargetClass18,Pathway4,1
Lung Cancer,Gene19,Fluoxetine,SMILES204,SideEffect16,TargetClass11,Pathway10,0
Breast Cancer,Gene6,Gefitinib,SMILES373,SideEffect24,TargetClass9,Pathway11,0
Parkinson's disease,Gene60,Levodopa,SMILES353,SideEffect47,TargetClass6,Pathway12,1
Type 2 Diabetes,Gene75,Metformin,SMILES255,SideEffect41,TargetClass16,Pathway9,1
Parkinson's disease,Gene36,Levodopa,SMILES456,SideEffect10,TargetClass14,Pathway14,1
Lung Cancer,Gene2,Erlotinib,SMILES18,SideEffect14,TargetClass8,Pathway14,1
Breast Cancer,Gene4,Tamoxifen,SMILES218,SideEffect8,TargetClass17,Pathway5,1
Parkinson's disease,Gene80,Levodopa,SMILES200,SideEffect12,TargetClass3,Pathway10,1
Alzheimer's disease,Gene66,Donepezil,SMILES280,SideEffect46,TargetClass15,Pathway12,1
Type 2 Diabetes,Gene22,Glipizide,SMILES75,SideEffect35,TargetClass9,Pathway6,1
Breast Cancer,Gene24,Tamoxifen,SMILES271,SideEffect34,TargetClass18,Pathway5,1
Lung Cancer,Gene12,Memantine,SMILES149,SideEffect11,TargetClass12,Pathway3,0
Breast Cancer,Gene7,Trastuzumab,SMILES197,SideEffect40,TargetClass17,Pathway14,1
Breast Cancer,Gene58,Tamoxifen,SMILES259,SideEffect22,TargetClass6,Pathway2,1
Parkinson's disease,Gene23,Carbidopa,SMILES218,SideEffect26,TargetClass17,Pathway12,1
COVID-19,Gene42,Molnupiravir,SMILES420,SideEffect16,TargetClass1,Pathway3,1
Lung Cancer,Gene81,Erlotinib,SMILES424,SideEffect16,TargetClass11,Pathway11,1
Lung Cancer,Gene44,Gefitinib,SMILES108,SideEffect39,TargetClass6,Pathway13,1
Parkinson's disease,Gene63,Levodopa,SMILES48,SideEffect48,TargetClass15,Pathway8,1
Parkinson's disease,Gene65,Carbidopa,SMILES104,SideEffect44,TargetClass15,Pathway13,1
Depression,Gene50,Fluoxetine,SMILES444,SideEffect8,TargetClass8,Pathway12,1
Lung Cancer,Gene52,Erlotinib,SMILES114,SideEffect39,TargetClass17,Pathway12,1
Breast Cancer,Gene46,Remdesivir,SMILES341,SideEffect10,TargetClass16,Pathway7,0
COVID-19,Gene7,Molnupiravir,SMILES368,SideEffect36,TargetClass7,Pathway1,1
Depression,Gene44,Sertraline,SMILES489,SideEffect1,TargetClass17,Pathway1,1
Lung Cancer,Gene6,Erlotinib,SMILES458,SideEffect37,TargetClass12,Pathway12,1
Type 2 Diabetes,Gene49,Remdesivir,SMILES198,SideEffect48,TargetClass12,Pathway3,0
Lung Cancer,Gene17,Glipizide,SMILES167,SideEffect22,TargetClass13,Pathway13,0
Depression,Gene77,Fluoxetine,SMILES491,SideEffect21,TargetClass14,Pathway1,1
Lung Cancer,Gene14,Gefitinib,SMILES337,SideEffect30,TargetClass7,Pathway5,1
Breast Cancer,Gene79,Tamoxifen,SMILES163,SideEffect8,TargetClass3,Pathway13,1
Type 2 Diabetes,Gene49,Glipizide,SMILES89,SideEffect49,TargetClass9,Pathway11,1
Alzheimer's disease,Gene63,Memantine,SMILES175,SideEffect26,TargetClass5,Pathway2,1
Alzheimer's disease,Gene54,Donepezil,SMILES44,SideEffect18,TargetClass17,Pathway8,1
Lung Cancer,Gene81,Erlotinib,SMILES235,SideEffect38,TargetClass10,Pathway8,1
Type 2 Diabetes,Gene66,Metformin,SMILES297,SideEffect22,TargetClass9,Pathway14,1
Parkinson's disease,Gene71,Carbidopa,SMILES38,SideEffect15,TargetClass18,Pathway11,1
COVID-19,Gene34,Molnupiravir,SMILES9,SideEffect10,TargetClass19,Pathway1,1
Type 2 Diabetes,Gene64,Tamoxifen,SMILES253,SideEffect23,TargetClass8,Pathway5,0
COVID-19,Gene59,Molnupiravir,SMILES179,SideEffect24,TargetClass17,Pathway9,1
Parkinson's disease,Gene47,Levodopa,SMILES97,SideEffect21,TargetClass13,Pathway2,1
Alzheimer's disease,Gene62,Erlotinib,SMILES207,SideEffect22,TargetClass5,Pathway7,0
Alzheimer's disease,Gene70,Levodopa,SMILES112,SideEffect21,TargetClass19,Pathway10,0
Alzheimer's disease,Gene45,Donepezil,SMILES259,SideEffect45,TargetClass11,Pathway9,1
Depression,Gene89,Fluoxetine,SMILES224,SideEffect40,TargetClass13,Pathway13,1
Type 2 Diabetes,Gene35,Metformin,SMILES495,SideEffect46,TargetClass1,Pathway5,1
Lung Cancer,Gene37,Metformin,SMILES151,SideEffect45,TargetClass9,Pathway1,0
Alzheimer's disease,Gene51,Memantine,SMILES171,SideEffect38,TargetClass4,Pathway3,1
Breast Cancer,Gene4,Tamoxifen,SMILES193,SideEffect15,TargetClass8,Pathway12,1
Depression,Gene62,Sertraline,SMILES143,SideEffect32,TargetClass4,Pathway4,1
Type 2 Diabetes,Gene46,Glipizide,SMILES64,SideEffect2,TargetClass11,Pathway1,1
Alzheimer's disease,Gene96,Memantine,SMILES283,SideEffect6,TargetClass10,Pathway13,1
Lung Cancer,Gene57,Erlotinib,SMILES227,SideEffect49,TargetClass13,Pathway5,1
Parkinson's disease,Gene92,Levodopa,SMILES99,SideEffect44,TargetClass15,Pathway13,1
Type 2 Diabetes,Gene57,Metformin,SMILES26,SideEffect25,TargetClass19,Pathway1,1
Parkinson's disease,Gene40,Memantine,SMILES403,SideEffect1,TargetClass11,Pathway7,0
Depression,Gene89,Glipizide,SMILES158,SideEffect24,TargetClass5,Pathway4,0
COVID-19,Gene38,Remdesivir,SMILES236,SideEffect18,TargetClass9,Pathway4,1
COVID-19,Gene38,Remdesivir,SMILES97,SideEffect6,TargetClass5,Pathway7,1
COVID-19,Gene2,Molnupiravir,SMILES23,SideEffect34,TargetClass15,Pathway10,1
Breast Cancer,Gene92,Trastuzumab,SMILES77,SideEffect46,TargetClass3,Pathway8,1
Depression,Gene87,Fluoxetine,SMILES33,SideEffect44,TargetClass2,Pathway2,1
COVID-19,Gene33,Remdesivir,SMILES212,SideEffect13,TargetClass16,Pathway13,1
Breast Cancer,Gene68,Tamoxifen,SMILES473,SideEffect6,TargetClass13,Pathway8,1
Alzheimer's disease,Gene68,Donepezil,SMILES95,SideEffect34,TargetClass10,Pathway5,1
COVID-19,Gene59,Fluoxetine,SMILES213,SideEffect43,TargetClass7,Pathway13,0
Type 2 Diabetes,Gene70,Glipizide,SMILES363,SideEffect17,TargetClass8,Pathway3,1
Type 2 Diabetes,Gene90,Glipizide,SMILES378,SideEffect10,TargetClass17,Pathway5,1
Alzheimer's disease,Gene46,Memantine,SMILES132,SideEffect24,TargetClass8,Pathway4,1
Type 2 Diabetes,Gene87,Gefitinib,SMILES266,SideEffect11,TargetClass9,Pathway9,0
Lung Cancer,Gene26,Erlotinib,SMILES421,SideEffect32,TargetClass6,Pathway9,1
Alzheimer's disease,Gene1,Donepezil,SMILES10,SideEffect47,TargetClass7,Pathway12,1
Breast Cancer,Gene87,Trastuzumab,SMILES207,SideEffect27,TargetClass2,Pathway12,1
Breast Cancer,Gene62,Tamoxifen,SMILES205,SideEffect8,TargetClass12,Pathway12,1
Type 2 Diabetes,Gene90,Metformin,SMILES41,SideEffect3,TargetClass1,Pathway5,1
Lung Cancer,Gene5,Tamoxifen,SMILES100,SideEffect31,TargetClass13,Pathway2,0
Breast Cancer,Gene60,Tamoxifen,SMILES236,SideEffect31,TargetClass9,Pathway14,1
Alzheimer's disease,Gene4,Donepezil,SMILES438,SideEffect19,TargetClass1,Pathway13,1
Parkinson's disease,Gene41,Levodopa,SMILES235,SideEffect45,TargetClass16,Pathway4,1
COVID-19,Gene20,Remdesivir,SMILES221,SideEffect4,TargetClass2,Pathway10,1
Depression,Gene79,Fluoxetine,SMILES217,SideEffect30,TargetClass12,Pathway11,1
Breast Cancer,Gene90,Trastuzumab,SMILES352,SideEffect29,TargetClass15,Pathway13,1
Parkinson's disease,Gene63,Glipizide,SMILES463,SideEffect31,TargetClass10,Pathway1,0
COVID-19,Gene66,Molnupiravir,SMILES95,SideEffect22,TargetClass1,Pathway13,1
Parkinson's disease,Gene58,Carbidopa,SMILES304,SideEffect1,TargetClass9,Pathway11,1
COVID-19,Gene85,Remdesivir,SMILES271,SideEffect9,TargetClass10,Pathway10,1
COVID-19,Gene89,Memantine,SMILES180,SideEffect27,TargetClass2,Pathway3,0
Alzheimer's disease,Gene41,Memantine,SMILES496,SideEffect23,TargetClass6,Pathway7,1
Alzheimer's disease,Gene19,Donepezil,SMILES66,SideEffect48,TargetClass2,Pathway9,1
Breast Cancer,Gene44,Trastuzumab,SMILES149,SideEffect28,TargetClass8,Pathway6,1
Depression,Gene24,Sertraline,SMILES271,SideEffect12,TargetClass14,Pathway11,1
COVID-19,Gene15,Remdesivir,SMILES422,SideEffect14,TargetClass14,Pathway9,1
Type 2 Diabetes,Gene12,Glipizide,SMILES296,SideEffect2,TargetClass9,Pathway13,1
Breast Cancer,Gene96,Gefitinib,SMILES145,SideEffect1,TargetClass1,Pathway14,0
Depression,Gene75,Sertraline,SMILES294,SideEffect2,TargetClass7,Pathway2,1
COVID-19,Gene35,Molnupiravir,SMILES237,SideEffect17,TargetClass6,Pathway10,1
Depression,Gene50,Fluoxetine,SMILES340,SideEffect12,TargetClass4,Pathway7,1
Breast Cancer,Gene27,Trastuzumab,SMILES241,SideEffect40,TargetClass14,Pathway13,1
Parkinson's disease,Gene22,Carbidopa,SMILES202,SideEffect4,TargetClass8,Pathway7,1
COVID-19,Gene4,Remdesivir,SMILES88,SideEffect23,TargetClass16,Pathway3,1
Type 2 Diabetes,Gene97,Donepezil,SMILES5,SideEffect37,TargetClass8,Pathway6,0
Depression,Gene12,Fluoxetine,SMILES20,SideEffect5,TargetClass5,Pathway6,1
Depression,Gene87,Glipizide,SMILES350,SideEffect6,TargetClass12,Pathway12,0
Alzheimer's disease,Gene61,Memantine,SMILES252,SideEffect13,TargetClass4,Pathway5,1
Depression,Gene63,Fluoxetine,SMILES95,SideEffect17,TargetClass15,Pathway9,1
Lung Cancer,Gene89,Gefitinib,SMILES424,SideEffect35,TargetClass5,Pathway6,1
Lung Cancer,Gene18,Gefitinib,SMILES256,SideEffect25,TargetClass1,Pathway4,1
Type 2 Diabetes,Gene41,Metformin,SMILES130,SideEffect19,TargetClass16,Pathway11,1
Lung Cancer,Gene17,Gefitinib,SMILES38,SideEffect25,TargetClass15,Pathway13,1
Lung Cancer,Gene61,Levodopa,SMILES282,SideEffect44,TargetClass5,Pathway14,0
Lung Cancer,Gene80,Gefitinib,SMILES127,SideEffect36,TargetClass13,Pathway8,1
COVID-19,Gene54,Molnupiravir,SMILES288,SideEffect22,TargetClass8,Pathway13,1
Depression,Gene32,Sertraline,SMILES282,SideEffect6,TargetClass14,Pathway7,1
Lung Cancer,Gene86,Gefitinib,SMILES105,SideEffect49,TargetClass10,Pathway14,1
COVID-19,Gene24,Remdesivir,SMILES73,SideEffect2,TargetClass6,Pathway14,1
Type 2 Diabetes,Gene96,Metformin,SMILES72,SideEffect4,TargetClass19,Pathway7,1
